"STATISTIC","STATISTIC Label","TLIST(M1)","Month","DIRECT","Direction","TYPASS","Type of Passenger Movement","UNIT","VALUE"
"TRBM1","Passenger Movement","196106","1961M06","01","Arriving in Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196106","1961M06","01","Arriving in Eire","043","Passenger Movement by Air from Shannon Airport","Number","10522"
"TRBM1","Passenger Movement","196106","1961M06","01","Arriving in Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","8298"
"TRBM1","Passenger Movement","196106","1961M06","01","Arriving in Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2224"
"TRBM1","Passenger Movement","196106","1961M06","02","Departing Eire","01","Passenger Movement by Sea to All Countries","Number","70414"
"TRBM1","Passenger Movement","196106","1961M06","02","Departing Eire","011","Passenger Movement by Sea to Great Britain","Number","69431"
"TRBM1","Passenger Movement","196106","1961M06","02","Departing Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","983"
"TRBM1","Passenger Movement","196106","1961M06","02","Departing Eire","02","Passenger Movement Cross-Border Rail","Number","25444"
"TRBM1","Passenger Movement","196106","1961M06","02","Departing Eire","03","Passenger Movement Cross-Border Bus","Number","46917"
"TRBM1","Passenger Movement","196106","1961M06","02","Departing Eire","04","Passenger Movement by Air from All Airports","Number","51208"
"TRBM1","Passenger Movement","196106","1961M06","02","Departing Eire","041","Passenger Movement by Air from Dublin Airport","Number","45493"
"TRBM1","Passenger Movement","196106","1961M06","02","Departing Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196106","1961M06","02","Departing Eire","043","Passenger Movement by Air from Shannon Airport","Number","5715"
"TRBM1","Passenger Movement","196106","1961M06","02","Departing Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","1791"
"TRBM1","Passenger Movement","196106","1961M06","02","Departing Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","3924"
"TRBM1","Passenger Movement","196107","1961M07","01","Arriving in Eire","01","Passenger Movement by Sea to All Countries","Number","165664"
"TRBM1","Passenger Movement","196107","1961M07","01","Arriving in Eire","011","Passenger Movement by Sea to Great Britain","Number","163158"
"TRBM1","Passenger Movement","196107","1961M07","01","Arriving in Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2506"
"TRBM1","Passenger Movement","196107","1961M07","01","Arriving in Eire","02","Passenger Movement Cross-Border Rail","Number","40096"
"TRBM1","Passenger Movement","196107","1961M07","01","Arriving in Eire","03","Passenger Movement Cross-Border Bus","Number","70956"
"TRBM1","Passenger Movement","196107","1961M07","01","Arriving in Eire","04","Passenger Movement by Air from All Airports","Number","89183"
"TRBM1","Passenger Movement","196107","1961M07","01","Arriving in Eire","041","Passenger Movement by Air from Dublin Airport","Number","76993"
"TRBM1","Passenger Movement","196107","1961M07","01","Arriving in Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196107","1961M07","01","Arriving in Eire","043","Passenger Movement by Air from Shannon Airport","Number","12190"
"TRBM1","Passenger Movement","196107","1961M07","01","Arriving in Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","9163"
"TRBM1","Passenger Movement","196107","1961M07","01","Arriving in Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","3027"
"TRBM1","Passenger Movement","196107","1961M07","02","Departing Eire","01","Passenger Movement by Sea to All Countries","Number","109457"
"TRBM1","Passenger Movement","196107","1961M07","02","Departing Eire","011","Passenger Movement by Sea to Great Britain","Number","108576"
"TRBM1","Passenger Movement","196107","1961M07","02","Departing Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","881"
"TRBM1","Passenger Movement","196107","1961M07","02","Departing Eire","02","Passenger Movement Cross-Border Rail","Number","40313"
"TRBM1","Passenger Movement","196107","1961M07","02","Departing Eire","03","Passenger Movement Cross-Border Bus","Number","67955"
"TRBM1","Passenger Movement","196107","1961M07","02","Departing Eire","04","Passenger Movement by Air from All Airports","Number","71713"
"TRBM1","Passenger Movement","196107","1961M07","02","Departing Eire","041","Passenger Movement by Air from Dublin Airport","Number","61556"
"TRBM1","Passenger Movement","196107","1961M07","02","Departing Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196107","1961M07","02","Departing Eire","043","Passenger Movement by Air from Shannon Airport","Number","10157"
"TRBM1","Passenger Movement","196107","1961M07","02","Departing Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2301"
"TRBM1","Passenger Movement","196107","1961M07","02","Departing Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","7856"
"TRBM1","Passenger Movement","196108","1961M08","01","Arriving in Eire","01","Passenger Movement by Sea to All Countries","Number","174562"
"TRBM1","Passenger Movement","196108","1961M08","01","Arriving in Eire","011","Passenger Movement by Sea to Great Britain","Number","173631"
"TRBM1","Passenger Movement","196108","1961M08","01","Arriving in Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","931"
"TRBM1","Passenger Movement","196108","1961M08","01","Arriving in Eire","02","Passenger Movement Cross-Border Rail","Number","45630"
"TRBM1","Passenger Movement","196108","1961M08","01","Arriving in Eire","03","Passenger Movement Cross-Border Bus","Number","81442"
"TRBM1","Passenger Movement","196108","1961M08","01","Arriving in Eire","04","Passenger Movement by Air from All Airports","Number","90853"
"TRBM1","Passenger Movement","196108","1961M08","01","Arriving in Eire","041","Passenger Movement by Air from Dublin Airport","Number","81379"
"TRBM1","Passenger Movement","196108","1961M08","01","Arriving in Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196108","1961M08","01","Arriving in Eire","043","Passenger Movement by Air from Shannon Airport","Number","9474"
"TRBM1","Passenger Movement","196108","1961M08","01","Arriving in Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","6244"
"TRBM1","Passenger Movement","196108","1961M08","01","Arriving in Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","3230"
"TRBM1","Passenger Movement","196108","1961M08","02","Departing Eire","01","Passenger Movement by Sea to All Countries","Number","216724"
"TRBM1","Passenger Movement","196108","1961M08","02","Departing Eire","011","Passenger Movement by Sea to Great Britain","Number","214934"
"TRBM1","Passenger Movement","196108","1961M08","02","Departing Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1790"
"TRBM1","Passenger Movement","196108","1961M08","02","Departing Eire","02","Passenger Movement Cross-Border Rail","Number","45330"
"TRBM1","Passenger Movement","196108","1961M08","02","Departing Eire","03","Passenger Movement Cross-Border Bus","Number","85331"
"TRBM1","Passenger Movement","196108","1961M08","02","Departing Eire","04","Passenger Movement by Air from All Airports","Number","101920"
"TRBM1","Passenger Movement","196108","1961M08","02","Departing Eire","041","Passenger Movement by Air from Dublin Airport","Number","88123"
"TRBM1","Passenger Movement","196108","1961M08","02","Departing Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196108","1961M08","02","Departing Eire","043","Passenger Movement by Air from Shannon Airport","Number","13797"
"TRBM1","Passenger Movement","196108","1961M08","02","Departing Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","3081"
"TRBM1","Passenger Movement","196108","1961M08","02","Departing Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","10716"
"TRBM1","Passenger Movement","196109","1961M09","01","Arriving in Eire","01","Passenger Movement by Sea to All Countries","Number","79360"
"TRBM1","Passenger Movement","196109","1961M09","01","Arriving in Eire","011","Passenger Movement by Sea to Great Britain","Number","78082"
"TRBM1","Passenger Movement","196109","1961M09","01","Arriving in Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1278"
"TRBM1","Passenger Movement","196109","1961M09","01","Arriving in Eire","02","Passenger Movement Cross-Border Rail","Number","36812"
"TRBM1","Passenger Movement","196109","1961M09","01","Arriving in Eire","03","Passenger Movement Cross-Border Bus","Number","49964"
"TRBM1","Passenger Movement","196109","1961M09","01","Arriving in Eire","04","Passenger Movement by Air from All Airports","Number","59328"
"TRBM1","Passenger Movement","196109","1961M09","01","Arriving in Eire","041","Passenger Movement by Air from Dublin Airport","Number","53820"
"TRBM1","Passenger Movement","196109","1961M09","01","Arriving in Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196109","1961M09","01","Arriving in Eire","043","Passenger Movement by Air from Shannon Airport","Number","5508"
"TRBM1","Passenger Movement","196109","1961M09","01","Arriving in Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2813"
"TRBM1","Passenger Movement","196109","1961M09","01","Arriving in Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2695"
"TRBM1","Passenger Movement","196109","1961M09","02","Departing Eire","01","Passenger Movement by Sea to All Countries","Number","115636"
"TRBM1","Passenger Movement","196109","1961M09","02","Departing Eire","011","Passenger Movement by Sea to Great Britain","Number","114189"
"TRBM1","Passenger Movement","196109","1961M09","02","Departing Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1447"
"TRBM1","Passenger Movement","196109","1961M09","02","Departing Eire","02","Passenger Movement Cross-Border Rail","Number","36250"
"TRBM1","Passenger Movement","196109","1961M09","02","Departing Eire","03","Passenger Movement Cross-Border Bus","Number","50762"
"TRBM1","Passenger Movement","196109","1961M09","02","Departing Eire","04","Passenger Movement by Air from All Airports","Number","74944"
"TRBM1","Passenger Movement","196109","1961M09","02","Departing Eire","041","Passenger Movement by Air from Dublin Airport","Number","63327"
"TRBM1","Passenger Movement","196109","1961M09","02","Departing Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196109","1961M09","02","Departing Eire","043","Passenger Movement by Air from Shannon Airport","Number","11617"
"TRBM1","Passenger Movement","196109","1961M09","02","Departing Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2623"
"TRBM1","Passenger Movement","196109","1961M09","02","Departing Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","8994"
"TRBM1","Passenger Movement","196110","1961M10","01","Arriving in Eire","01","Passenger Movement by Sea to All Countries","Number","31748"
"TRBM1","Passenger Movement","196110","1961M10","01","Arriving in Eire","011","Passenger Movement by Sea to Great Britain","Number","31279"
"TRBM1","Passenger Movement","196110","1961M10","01","Arriving in Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","469"
"TRBM1","Passenger Movement","196110","1961M10","01","Arriving in Eire","02","Passenger Movement Cross-Border Rail","Number","14502"
"TRBM1","Passenger Movement","196110","1961M10","01","Arriving in Eire","03","Passenger Movement Cross-Border Bus","Number","45037"
"TRBM1","Passenger Movement","196110","1961M10","01","Arriving in Eire","04","Passenger Movement by Air from All Airports","Number","35107"
"TRBM1","Passenger Movement","196110","1961M10","01","Arriving in Eire","041","Passenger Movement by Air from Dublin Airport","Number","29943"
"TRBM1","Passenger Movement","196110","1961M10","01","Arriving in Eire","042","Passenger Movement by Air from Cork Airport","Number","820"
